COUNTRY CODE	IBA CODE	IBA NAME
"AD"	"BIRDLIFE_19"	"Pirineo de Andorra"
"AE"	"BIRDLIFE_8330"	"Abu Al Abyad Island"
"AE"	"BIRDLIFE_46849"	"Abu Al Sayayif"
"AE"	"BIRDLIFE_8333"	"Al Houbara"
"AE"	"BIRDLIFE_46862"	"Al Marmoom Desert"
"AE"	"BIRDLIFE_46855"	"Al Rafiq"
"AE"	"BIRDLIFE_46859"	"Al Ushsh Island"
"AE"	"BIRDLIFE_46847"	"Al Wathba"
"AE"	"BIRDLIFE_46848"	"Al Zorah (Khor Ajman)"
"AE"	"BIRDLIFE_8323"	"Alqurm Wa Lehfeiyah (Khor Kalba)"
"AE"	"BIRDLIFE_46864"	"Ba Al Ghaylam"
"AE"	"BIRDLIFE_46850"	"Bu Tinah"
"AE"	"BIRDLIFE_46851"	"Dayyinah Island (Diynah)"
"AE"	"BIRDLIFE_46860"	"Dubai Desert"
"AE"	"BIRDLIFE_46852"	"Faziya"
"AE"	"BIRDLIFE_8327"	"Ghagha Island"
"AE"	"BIRDLIFE_8332"	"Jebel Hafeet"
"AE"	"BIRDLIFE_8318"	"Khor Al Beidah"
"AE"	"BIRDLIFE_8314"	"Khor Al Jazirah"
"AE"	"BIRDLIFE_46853"	"Marawah Island"
"AE"	"BIRDLIFE_46854"	"Muhaimat Island"
"AE"	"BIRDLIFE_8320"	"Mushrif Park"
"AE"	"BIRDLIFE_8325"	"Qarnain Island"
"AE"	"BIRDLIFE_8322"	"Ras Al Khor Wildlife Sanctuary (Khor Dubai)"
"AE"	"BIRDLIFE_46856"	"Salahah Island"
"AE"	"BIRDLIFE_8316"	"Siniyah Island"
"AE"	"BIRDLIFE_8328"	"Sir Bani Yas Islands"
"AE"	"BIRDLIFE_46857"	"Sir Bu Na'air Island"
"AE"	"BIRDLIFE_8331"	"Umm Amim"
"AE"	"BIRDLIFE_46858"	"Wadi Wurayah"
"AE"	"BIRDLIFE_8329"	"Yasat Island"
"AF"	"BIRDLIFE_8014"	"Ab-i-Istada"
"AF"	"BIRDLIFE_8007"	"Bande Amir"
"AF"	"BIRDLIFE_8002"	"Big Pamir"
"AF"	"BIRDLIFE_8000"	"Darqad"
"AF"	"BIRDLIFE_8012"	"Dashte Nawar"
"AF"	"BIRDLIFE_8015"	"Hamun-i-Puzak"
"AF"	"BIRDLIFE_8010"	"Hari Rud valley"
"AF"	"BIRDLIFE_8001"	"Imam Sahib"
"AF"	"BIRDLIFE_8008"	"Kole Hashmat Khan"
"AF"	"BIRDLIFE_8005"	"North-western steppe"
"AF"	"BIRDLIFE_8006"	"Pech and Waygal valleys"
"AF"	"BIRDLIFE_8016"	"Registan desert"
"AF"	"BIRDLIFE_8011"	"Safed Koh"
"AF"	"BIRDLIFE_8004"	"Salang Kotal"
"AF"	"BIRDLIFE_8003"	"Small Pamir"
"AG"	"BIRDLIFE_20876"	"Bethesda Dam"
"AG"	"BIRDLIFE_20877"	"Christian Cove"
"AG"	"BIRDLIFE_20750"	"Christian Valley"
"AG"	"BIRDLIFE_19941"	"Codrington Lagoon and the Creek"
"AG"	"BIRDLIFE_19943"	"Fitches Creek Bay"
"AG"	"BIRDLIFE_20878"	"Hanson's Bay – Flashes"
"AG"	"BIRDLIFE_19942"	"McKinnons Salt Pond"
"AG"	"BIRDLIFE_20751"	"Offshore Islands"
"AG"	"BIRDLIFE_20749"	"Potworks Dam"
"AG"	"BIRDLIFE_19939"	"Redonda"
"AG"	"BIRDLIFE_20748"	"Valley Church Bay"
"AG"	"BIRDLIFE_20875"	"Wallings Forest"
"AI"	"BIRDLIFE_31359"	"Cauls Pond"
"AI"	"BIRDLIFE_21964"	"Cove Pond"
"AI"	"BIRDLIFE_19783"	"Dog Island"
"AI"	"BIRDLIFE_31362"	"Forest Bay Pond"
"AI"	"BIRDLIFE_22005"	"Grey Pond"
"AI"	"BIRDLIFE_26971"	"Katouche Canyon"
"AI"	"BIRDLIFE_21966"	"Long Salt Pond"
"AI"	"BIRDLIFE_31363"	"Meads Bay Pond"
"AI"	"BIRDLIFE_31489"	"Merrywing Pond System"
"AI"	"BIRDLIFE_31600"	"Mimi Bay"
"AI"	"BIRDLIFE_21965"	"Prickly Pear (East and West)"
"AI"	"BIRDLIFE_31364"	"Rendezvous Bay Pond"
"AI"	"BIRDLIFE_31360"	"Road Salt Pond"
"AI"	"BIRDLIFE_19784"	"Scrub Island"
"AI"	"BIRDLIFE_19785"	"Sombrero Island"
"AI"	"BIRDLIFE_31361"	"West End Pond"
"AL"	"BIRDLIFE_2905"	"Drini Delta"
"AL"	"BIRDLIFE_45612"	"Gjirokastra"
"AL"	"BIRDLIFE_2904"	"Karavasta Lagoon"
"AL"	"BIRDLIFE_2910"	"Lake Butrinti"
"AL"	"BIRDLIFE_2901"	"Lake Megali Prespa"
"AL"	"BIRDLIFE_2902"	"Lake Mikri Prespa"
"AL"	"BIRDLIFE_2900"	"Lake Ohrid and surrounding area"
"AL"	"BIRDLIFE_2899"	"Lake Shkodra (Lake Scadar)"
"AL"	"BIRDLIFE_2912"	"Lalzi Bay"
"AL"	"BIRDLIFE_2907"	"Lura"
"AL"	"BIRDLIFE_2903"	"Narta Lagoon"
"AL"	"BIRDLIFE_2911"	"Patoku lagoon"
"AL"	"BIRDLIFE_2906"	"Thethi"
"AL"	"BIRDLIFE_2913"	"Velipoja"
"AL"	"BIRDLIFE_2908"	"Vlora Bay, Karaburun Peninsula and Cika mountain"
"AM"	"BIRDLIFE_19751"	"Amasia"
"AM"	"BIRDLIFE_3137"	"Armash fish-farm"
"AM"	"BIRDLIFE_19753"	"Dsegh"
"AM"	"BIRDLIFE_19754"	"Gndasar"
"AM"	"BIRDLIFE_19755"	"Gorayk"
"AM"	"BIRDLIFE_19756"	"Haghartsin"
"AM"	"BIRDLIFE_19757"	"Jermook"
"AM"	"BIRDLIFE_3135"	"Khosrov Reserve"
"AM"	"BIRDLIFE_3136"	"Lake Arpi"
"AM"	"BIRDLIFE_3618"	"Lake Sevan and environs"
"AM"	"BIRDLIFE_19761"	"Meghri"
"AM"	"BIRDLIFE_19762"	"Metsamor"
"AM"	"BIRDLIFE_19763"	"Mount Ara"
"AM"	"BIRDLIFE_19764"	"Noravank"
"AM"	"BIRDLIFE_3138"	"Pombak mountain chain"
"AM"	"BIRDLIFE_19766"	"Sardarapat"
"AM"	"BIRDLIFE_19767"	"Tashir"
"AM"	"BIRDLIFE_19768"	"Zangezoor"
"AO"	"BIRDLIFE_6000"	"Bicuari National Park"
"AO"	"BIRDLIFE_6001"	"Caconda"
"AO"	"BIRDLIFE_6002"	"Calandula (Quedas de Calandula)"
"AO"	"BIRDLIFE_6003"	"Camabatela"
"AO"	"BIRDLIFE_6004"	"Cameia National Park"
"AO"	"BIRDLIFE_6005"	"Cangandala National Park"
"AO"	"BIRDLIFE_6006"	"Chongoroi"
"AO"	"BIRDLIFE_6007"	"Cuango"
"AO"	"BIRDLIFE_6008"	"Cuelei"
"AO"	"BIRDLIFE_6009"	"Cutato"
"AO"	"BIRDLIFE_6010"	"Gabela"
"AO"	"BIRDLIFE_6011"	"Iona National Park"
"AO"	"BIRDLIFE_6012"	"Lago Carumbo"
"AO"	"BIRDLIFE_6013"	"Luachimo River (Chitato)"
"AO"	"BIRDLIFE_6014"	"Luando Strict Nature Reserve"
"AO"	"BIRDLIFE_6015"	"Luia"
"AO"	"BIRDLIFE_6016"	"Maiombe"
"AO"	"BIRDLIFE_6017"	"Mombolo (Missão da Namba)"
"AO"	"BIRDLIFE_6018"	"Mount Moco"
"AO"	"BIRDLIFE_6019"	"Mupa National Park"
"AO"	"BIRDLIFE_6020"	"Mussulo"
"AO"	"BIRDLIFE_6021"	"Quiçama"
"AO"	"BIRDLIFE_6022"	"Tundavala"
"AQ"	"BIRDLIFE_45222"	"Adélie Cove"
"AQ"	"BIRDLIFE_30102"	"Amanda Bay"
"AQ"	"BIRDLIFE_45172"	"Ambush Bay, Joinville Island"
"AQ"	"BIRDLIFE_45185"	"Andersen Island"
"AQ"	"BIRDLIFE_49082"	"Antarctica Marine 1"
"AQ"	"BIRDLIFE_49091"	"Antarctica Marine 10"
"AQ"	"BIRDLIFE_49092"	"Antarctica Marine 11"
"AQ"	"BIRDLIFE_49093"	"Antarctica Marine 12"
"AQ"	"BIRDLIFE_49094"	"Antarctica Marine 13"
"AQ"	"BIRDLIFE_49095"	"Antarctica Marine 14"
"AQ"	"BIRDLIFE_49096"	"Antarctica Marine 15"
"AQ"	"BIRDLIFE_49097"	"Antarctica Marine 16"
"AQ"	"BIRDLIFE_49098"	"Antarctica Marine 17"
"AQ"	"BIRDLIFE_49099"	"Antarctica Marine 18"
"AQ"	"BIRDLIFE_49100"	"Antarctica Marine 19"
"AQ"	"BIRDLIFE_49083"	"Antarctica Marine 2"
"AQ"	"BIRDLIFE_49101"	"Antarctica Marine 20"
"AQ"	"BIRDLIFE_49102"	"Antarctica Marine 21"
"AQ"	"BIRDLIFE_49103"	"Antarctica Marine 22"
"AQ"	"BIRDLIFE_49104"	"Antarctica Marine 23"
"AQ"	"BIRDLIFE_49105"	"Antarctica Marine 24"
"AQ"	"BIRDLIFE_49106"	"Antarctica Marine 25"
"AQ"	"BIRDLIFE_49107"	"Antarctica Marine 26"
"AQ"	"BIRDLIFE_49108"	"Antarctica Marine 27"
"AQ"	"BIRDLIFE_49109"	"Antarctica Marine 28"
"AQ"	"BIRDLIFE_49110"	"Antarctica Marine 29"
"AQ"	"BIRDLIFE_49084"	"Antarctica Marine 3"
"AQ"	"BIRDLIFE_49111"	"Antarctica Marine 30"
"AQ"	"BIRDLIFE_49112"	"Antarctica Marine 31"
"AQ"	"BIRDLIFE_49113"	"Antarctica Marine 32"
"AQ"	"BIRDLIFE_49114"	"Antarctica Marine 33"
"AQ"	"BIRDLIFE_49115"	"Antarctica Marine 34"
"AQ"	"BIRDLIFE_49116"	"Antarctica Marine 35"
"AQ"	"BIRDLIFE_49117"	"Antarctica Marine 36"
"AQ"	"BIRDLIFE_49118"	"Antarctica Marine 37"
"AQ"	"BIRDLIFE_49119"	"Antarctica Marine 38"
"AQ"	"BIRDLIFE_49120"	"Antarctica Marine 39"
"AQ"	"BIRDLIFE_49085"	"Antarctica Marine 4"
"AQ"	"BIRDLIFE_49121"	"Antarctica Marine 40"
"AQ"	"BIRDLIFE_49122"	"Antarctica Marine 41"
"AQ"	"BIRDLIFE_49123"	"Antarctica Marine 42"
"AQ"	"BIRDLIFE_49124"	"Antarctica Marine 43"
"AQ"	"BIRDLIFE_49125"	"Antarctica Marine 44"
"AQ"	"BIRDLIFE_49126"	"Antarctica Marine 45"
"AQ"	"BIRDLIFE_49127"	"Antarctica Marine 46"
"AQ"	"BIRDLIFE_49128"	"Antarctica Marine 47"
"AQ"	"BIRDLIFE_49129"	"Antarctica Marine 48"
"AQ"	"BIRDLIFE_49130"	"Antarctica Marine 49"
"AQ"	"BIRDLIFE_49086"	"Antarctica Marine 5"
"AQ"	"BIRDLIFE_49131"	"Antarctica Marine 50"
"AQ"	"BIRDLIFE_49132"	"Antarctica Marine 51"
"AQ"	"BIRDLIFE_49133"	"Antarctica Marine 52"
"AQ"	"BIRDLIFE_49134"	"Antarctica Marine 53"
"AQ"	"BIRDLIFE_49135"	"Antarctica Marine 54"
"AQ"	"BIRDLIFE_49136"	"Antarctica Marine 55"
"AQ"	"BIRDLIFE_49137"	"Antarctica Marine 56"
"AQ"	"BIRDLIFE_49138"	"Antarctica Marine 57"
"AQ"	"BIRDLIFE_49139"	"Antarctica Marine 58"
"AQ"	"BIRDLIFE_49140"	"Antarctica Marine 59"
"AQ"	"BIRDLIFE_49087"	"Antarctica Marine 6"
"AQ"	"BIRDLIFE_49141"	"Antarctica Marine 60"
"AQ"	"BIRDLIFE_49142"	"Antarctica Marine 61"
"AQ"	"BIRDLIFE_49143"	"Antarctica Marine 62"
"AQ"	"BIRDLIFE_49144"	"Antarctica Marine 63"
"AQ"	"BIRDLIFE_49088"	"Antarctica Marine 7"
"AQ"	"BIRDLIFE_49089"	"Antarctica Marine 8"
"AQ"	"BIRDLIFE_49090"	"Antarctica Marine 9"
"AQ"	"BIRDLIFE_45200"	"Ardery Island / Odbert Island"
"AQ"	"BIRDLIFE_29408"	"Ardley Island, King George Island"
"AQ"	"BIRDLIFE_29483"	"Armstrong Reef"
"AQ"	"BIRDLIFE_45215"	"Arthurson Ridge"
"AQ"	"BIRDLIFE_29466"	"Aspland Island / Eadie Island"
"AQ"	"BIRDLIFE_30106"	"Atka Iceport"
"AQ"	"BIRDLIFE_30924"	"Atlantic, Antarctic 10 - Marine"
"AQ"	"BIRDLIFE_30925"	"Atlantic, Antarctic 11 - Marine"
"AQ"	"BIRDLIFE_30926"	"Atlantic, Antarctic 12 - Marine"
"AQ"	"BIRDLIFE_30927"	"Atlantic, Antarctic 13 - Marine"
"AQ"	"BIRDLIFE_30928"	"Atlantic, Antarctic 14 - Marine"
"AQ"	"BIRDLIFE_30929"	"Atlantic, Antarctic 22 - Marine"
"AQ"	"BIRDLIFE_29475"	"Atriceps Island, Robertson Islands"
"AQ"	"BIRDLIFE_30107"	"Auster Rookery"
"AQ"	"BIRDLIFE_29396"	"Avian Island"
"AQ"	"BIRDLIFE_29403"	"Baily Head, Deception Island"
"AQ"	"BIRDLIFE_29455"	"Barnard Point, Livingston Island"
"AQ"	"BIRDLIFE_30108"	"Beaufort Island"
"AQ"	"BIRDLIFE_45203"	"Berkley Island / Cameron Island"
"AQ"	"BIRDLIFE_30129"	"Berkner Island northwest (Gould Bay)"
"AQ"	"BIRDLIFE_45231"	"Bernacchi Head, Franklin Island"
"AQ"	"BIRDLIFE_30109"	"Blue Glacier to Cape Chocolate"
"AQ"	"BIRDLIFE_29435"	"Bluff Island"
"AQ"	"BIRDLIFE_45173"	"Brash Island, Danger Islands"
"AQ"	"BIRDLIFE_29467"	"Brown Bluff"
"AQ"	"BIRDLIFE_45239"	"Brownson Islands"
"AQ"	"BIRDLIFE_30130"	"Brunt Ice Shelf (Halley Bay)"
"AQ"	"BIRDLIFE_29419"	"Buchanan Point, Laurie Island"
