GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	OBSERVER ORCID ID	SAMPLING EVENT IDENTIFIER	OBSERVATION TYPE	PROTOCOL NAME	PROTOCOL CODE	PROJECT NAMES	PROJECT IDENTIFIERS	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	CHECKLIST COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS2919749158	2025-03-01 23:25:39.781016	21333	species	avibase-69544B59	American Crow	Corvus brachyrhynchos				2					United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		27			Lakefield Drive, Tuscaloosa	L10510092	H	33.1559565	-87.6336990	2025-03-01	06:21:00	obsr1073731		S215984764	Traveling	Traveling	P22			24	1.092		2	1	G14142220	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS2933256785	2025-03-05 07:43:54.669907	21333	species	avibase-69544B59	American Crow	Corvus brachyrhynchos				1					United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		27			23rd Street Area, Tuscaloosa	L12228602	P	33.1882745	-87.5396724	2025-03-05	06:27:00	obsr451424		S216708215	Stationary	Stationary	P21			15			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS3009418896	2025-03-30 17:15:29.683739	21333	species	avibase-69544B59	American Crow	Corvus brachyrhynchos				3					United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		27			River Bend Turf	L5039140	H	33.1335213	-87.6534175	2025-03-30	15:11:00	obsr451424		S221934152	Traveling	Traveling	P22			60	13.532		2	1	G14355008	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS2930040857	2025-03-04 07:42:07.176854	21333	species	avibase-69544B59	American Crow	Corvus brachyrhynchos				2					United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		27			23rd Street Area, Tuscaloosa	L12228602	P	33.1882745	-87.5396724	2025-03-04	06:24:00	obsr451424		S216566409	Stationary	Stationary	P21			16			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS3005325331	2025-03-29 12:31:48.25322	21333	species	avibase-69544B59	American Crow	Corvus brachyrhynchos				4					United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		27			17694 U.S. 43, Northport, Alabama, US (33.425, -87.605)	L27095723	P	33.4251511	-87.6054867	2025-03-29	10:14:00	obsr916618		S221574608	Stationary	Stationary	P21			48			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS2961548892	2025-03-14 17:00:01.758986	21333	species	avibase-69544B59	American Crow	Corvus brachyrhynchos				4					United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		27			Rocky Branch Park	L2612316	H	33.2760286	-87.4145222	2025-03-14	08:40:00	obsr1139460		S218506433	Traveling	Traveling	P22			130	4.200		2	1	G14240709	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS3002160879	2025-03-28 11:11:42.105218	21333	species	avibase-69544B59	American Crow	Corvus brachyrhynchos				1					United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		27			2011 Corbell Drive	L4921819	P	33.1879866	-87.4227580	2025-03-28	09:52:00	obsr447687		S221296269	Traveling	Traveling	P22			18	0.193		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS3013594377	2025-04-01 12:12:09.291008	21333	species	avibase-69544B59	American Crow	Corvus brachyrhynchos				5					United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		27			Cypress Pond	L654530	H	33.0724477	-87.6296997	2025-03-31	18:25:00	obsr3031639		S222206010	Incidental	Incidental	P20						1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS2949801989	2025-03-10 15:27:31.403737	21333	species	avibase-69544B59	American Crow	Corvus brachyrhynchos				1					United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		27			I-20 Cottondale Rest Area	L4472327	H	33.1897681	-87.3242283	2025-03-10	12:31:00	obsr654499		S217742237	Incidental	Incidental	P20						1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS2956210632	2025-03-12 17:47:59.464991	21333	species	avibase-69544B59	American Crow	Corvus brachyrhynchos				2					United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		27			Arboretum/Prickett Running Park	L41145416	P	33.1948120	-87.4808940	2025-03-12	16:12:00	obsr3423678		S218142150	Traveling	Traveling	P22			35	1.282		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS3005149996	2025-03-29 11:39:11.373444	21333	species	avibase-69544B59	American Crow	Corvus brachyrhynchos				3					United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		28			Tannehill Ironworks Historical Park	L1132450	H	33.2510342	-87.0666504	2025-03-28	07:10:00	obsr556872		S221555988	Traveling	Traveling	P22			40	1.609		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS2996883466	2025-03-26 12:01:58.868315	21333	species	avibase-69544B59	American Crow	Corvus brachyrhynchos				1					United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		27			2011 Corbell Drive	L4921819	P	33.1879866	-87.4227580	2025-03-26	10:53:00	obsr447687		S220917607	Traveling	Traveling	P22			7	0.129		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS2939748376	2025-03-07 12:17:09.983971	21333	species	avibase-69544B59	American Crow	Corvus brachyrhynchos				2					United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		27			Van De Graaff Park	L6812257	H	33.2221657	-87.5991654	2025-03-07	09:44:00	obsr3007850		S217057780	Traveling	Traveling	P22			92	2.827		3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS2942278423	2025-03-08 09:22:52.212638	21333	species	avibase-69544B59	American Crow	Corvus brachyrhynchos				2					United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		27			13550 Hidden Valley Rd, Cottondale US-AL (33.0902,-87.3957)	L40255155	P	33.0902080	-87.3957410	2025-03-08	07:28:00	obsr2940210		S217207721	Stationary	Stationary	P21			54			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS2950363007	2025-03-10 19:01:34.558788	21333	species	avibase-69544B59	American Crow	Corvus brachyrhynchos				1					United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		27			JMF	L7287743	P	33.2148430	-87.5676020	2025-03-10	17:00:00	obsr850449		S217783600	Traveling	Traveling	P22			60	1.530		1	1		0	1	0			Heard calls and saw bird; E grass area	
URN:CornellLabOfOrnithology:EBIRD:OBS2982551469	2025-04-06 01:00:07.84204	21333	species	avibase-69544B59	American Crow	Corvus brachyrhynchos				5					United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		27			Van De Graaff Park	L6812257	H	33.2221657	-87.5991654	2025-03-21	16:33:00	obsr3774491		S219870452	Traveling	Traveling	P22			109	2.308		2	1	G14291243	0	1	0				
