LAST EDITED DATE	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	OBSERVER ORCID ID	SAMPLING EVENT IDENTIFIER	OBSERVATION TYPE	PROTOCOL NAME	PROTOCOL CODE	PROJECT NAMES	PROJECT IDENTIFIERS	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	CHECKLIST COMMENTS	
2025-03-03 10:10:31.879298	United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		27			The University of Alabama, Tuscaloosa US-AL (33.2040,-87.5369)	L10010121	P	33.2040040	-87.5368820	2025-03-03	07:36:00	obsr451074		S216434889	Traveling	Traveling	P22			84	1.450		7	1			
2025-03-29 18:49:34.900449	United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		27			Tuscaloosa Co. Rd. 21, Shirley Bridges	L1010196	H	33.3339345	-87.7571583	2025-03-29	16:33:00	obsr850449		S221672529	Traveling	Traveling	P22			73	1.358		2	1		Really cloudy and rainy, darker looking clouds--Temp of 77 degrees F--Wind from at S at 13 mph with gusts up to 20 mph--53% humidity--Within 12 min, it started sprinkling rain for about 10 minutes and the rain stopped until around 545pm when it started sprinkling rain again--Birding with my Dad	
2025-03-09 21:36:25.027228	United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		27			Lakefield Drive, Tuscaloosa	L10510092	H	33.1559565	-87.6336990	2025-03-09	08:16:00	obsr451424		S217440258	Traveling	Traveling	P22			19	0.981		2	1	G14199452		
2025-03-13 11:44:54.496752	United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		27			Lakefield Drive, Tuscaloosa	L10510092	H	33.1559565	-87.6336990	2025-03-12	07:04:00	obsr503027		S218252894	Incidental	Incidental	P20						2	0	G14230601		
2025-03-09 21:36:25.027228	United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		27			Lakefield Drive, Tuscaloosa	L10510092	H	33.1559565	-87.6336990	2025-03-09	08:16:00	obsr1073731		S217440256	Traveling	Traveling	P22			19	0.981		2	1	G14199452		
2025-03-13 11:44:54.496752	United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		27			Lakefield Drive, Tuscaloosa	L10510092	H	33.1559565	-87.6336990	2025-03-12	07:04:00	obsr351904		S218029597	Incidental	Incidental	P20						2	0	G14230601		
2025-03-16 08:44:46.154903	United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		27			Lakefield Drive, Tuscaloosa	L10510092	H	33.1559565	-87.6336990	2025-03-16	07:30:00	obsr1073731		S218826543	Traveling	Traveling	P22			13	1.207		2	1	G14254293		
2025-03-01 23:25:39.781016	United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		27			Lakefield Drive, Tuscaloosa	L10510092	H	33.1559565	-87.6336990	2025-03-01	06:21:00	obsr451424		S215984765	Traveling	Traveling	P22			24	1.092		2	1	G14142220		
2025-03-03 18:53:38.273542	United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		27			Lakefield Drive, Tuscaloosa	L10510092	H	33.1559565	-87.6336990	2025-03-02	08:10:00	obsr2615533		S216229669	Traveling	Traveling	P22			23	0.901		1	1			
2025-03-01 23:25:39.781016	United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		27			Lakefield Drive, Tuscaloosa	L10510092	H	33.1559565	-87.6336990	2025-03-01	06:21:00	obsr1073731		S215984764	Traveling	Traveling	P22			24	1.092		2	1	G14142220		
2025-03-16 08:44:46.154903	United States	US	Alabama	US-AL	Tuscaloosa	US-AL-125		27			Lakefield Drive, Tuscaloosa	L10510092	H	33.1559565	-87.6336990	2025-03-16	07:30:00	obsr451424		S218826544	Traveling	Traveling	P22			13	1.207		2	1	G14254293		
